Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
Dr. Reckeweg Bio-Combination 19 (BC 19) Tablet,Ferrum phosphoricum,336,Kalium phosphoricum,477,Natrum sulphuricum,566,Magnesia phosphorica,518,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,Calcarea Fluorica,162,Calcarea Sulphurica,166,Natrum Muriaticum,561,Kalium Sulphuricum,478,Natrum Sulphuricum,566,papular eruptions,603,ringworm,682,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,Calcarea Phosphorica,165,Ferrum Phosphoricum,336,low-grade fever,509,irritability,454,and biting,46,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Bio-Combination 28 (BC 28) Tablet,Calcarea fluorica,162,Calcarea phosphorica,165,Calcarea sulphurica,166,Ferrum phosphoricum,336,Kalium muriaticum,476,Kalium phosphoricum,477,Kalum sulphuricum,482,Magnesia phosphorica,518,Natrum muriaticum,561,Natrum phosphoricum,564,Natrum sulphuricum,566,Silicea,727,ear,302,nose,581,onion,593,hing,412,mint,camphor,184,,#N/A,,#N/A
Dr. Reckeweg Bryonia Alba Dilution 200 CH,coryza,254,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Bryonia Alba Dilution 30 CH,coryza,254,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Calc Fluor Dilution 30 CH,uterine problems,839,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Cantharis Dilution 200 CH,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Cantharis Dilution 30 CH,In females,440,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Carbo Veg Dilution 200 CH,Relieves flatulence,658,gangrenes,350,Reduces pain,649,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Carbo Veg Dilution 30 CH,Relieves flatulence,658,gangrenes,350,Reduces pain,649,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Causticum Dilution 200 CH,Natrum causticum,558,Alcohol,22,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Causticum Dilution 30 CH,Natrum causticum,558,Alcohol,22,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Chelidonium Maj Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Colocynthis Dilution 200 CH,Ethanol,318,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Colocynthis Dilution 30 CH,Ethanol,318,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Crataegus Mother Tincture Q,Treats arteriosclerosis,813,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Damiana Mother Tincture Q,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Ferrum Phosphoricum Biochemic Tablet 6X,Ferrum Phosphoricum,336,Alcohol,22,dental work,282,injury,447,menses,527,etc,316,Relieves coughing,656,In women,441,Relieves fever,657,cough,255,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Gelsemium Sempervirens Dilution 30 CH,Natural Minerals,570,Gelsemium Sempervirens,359,Lactose,488,Sucrose,771,heavy eyelids,402,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Ginseng Mother Tincture Q,debility,281,sciatica,711,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Guaiacum Mother Tincture Q,stiffness,765,stiffness,765,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Hamamelis V Dilution 30 CH,Hamamelis Virginica,387,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Hamamelis Virg Mother Tincture Q,Hamamelis Virginica,387,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
